epoch,train_loss,val_loss,val_acc,val_balanced_acc,val_f1
1,0.3452316081604442,0.2026434297094474,0.9256756756756757,0.929519071310116,0.9290322580645162
2,0.18360192786801505,0.1782719235162477,0.9324324324324325,0.9356919108162889,0.9358974358974359
3,0.1449394242687,0.18378584972909978,0.9391891891891891,0.9418647503224618,0.9426751592356688
4,0.12191856433511586,0.1924631645953333,0.9391891891891891,0.9405749032614704,0.9433962264150944
5,0.09905266213054592,0.20233097853692802,0.9391891891891891,0.9418647503224618,0.9426751592356688
6,0.0876926431507879,0.20195390951089762,0.9391891891891891,0.9405749032614704,0.9433962264150944
7,0.06457713100354413,0.2175130536402198,0.9391891891891891,0.9405749032614704,0.9433962264150944
8,0.06345518133477182,0.21022217967421622,0.9324324324324325,0.9331122166943062,0.9375
9,0.042672597523149405,0.22844670174291004,0.9324324324324325,0.9318223696333149,0.9382716049382716
10,0.028553044083654076,0.27363726729527116,0.918918918918919,0.9181868435599778,0.9259259259259259
11,0.013586051014056933,0.32402653620000993,0.9324324324324325,0.9331122166943062,0.9375
12,0.018362455199412826,0.3091951323566153,0.9256756756756757,0.9243596830661507,0.9325153374233128
